ITER,CYCL,LOOP,ERR,V,T5,TA,TB,S1_B1,S3_B1,SINT_B1,SEQV_B1,E1_B1,E3_B1,EPTOINT_B1,EPTOEQV_B1,S1_D,S3_D,SINT_D,SEQV_D,E1_D,E3_D,EPTOINT_D,EPTOEQV_D,S1_B2,S3_B2,SINT_B2,SEQV_B2,E1_B2,E3_B2,EPTOINT_B2,EPTOEQV_B2,DOF_27387,DOF_88479
1,1,1522,0,1007.022794,673.9073375,225.0097641,499.9009457,696.0749153,-139.4701103,835.5450256,725.6803358,0.004150627207,-0.00267228642,0.006822913626,0.004500431805,1004.39074,-47.15725426,1051.547994,943.2330592,0.005776697964,-0.002674357986,0.008451055949,0.005762480366,398.0855325,-331.2577007,729.3432333,632.9171694,0.002970682076,-0.002977782869,0.005948464945,0.003939924757,0.9888832903,0.2977365497
1,1,1523,0,1016.555502,657.6575171,227.6173826,495.0078474,696.4297987,-117.4832064,813.9130051,707.9740576,0.004102652823,-0.00253081692,0.006633469743,0.004382052939,1007.626932,-35.7994318,1043.426364,938.3214229,0.005766461804,-0.002607267716,0.00837372952,0.005724784338,403.3272195,-317.9965798,721.3237994,625.3614829,0.002975589897,-0.002896450593,0.00587204049,0.003886712041,0.9817474217,0.296629179
1,1,1524,0,1010.331995,652.7606191,229.1838314,510.4808981,662.9316726,-164.5292808,827.4609534,718.9913562,0.004073674769,-0.002709555444,0.006783230213,0.004476448952,992.8306193,-62.32441488,1055.155034,943.8098825,0.005762473518,-0.002749262973,0.008511736491,0.005786129319,375.8443061,-338.3648721,714.2091782,619.2533062,0.002907197933,-0.002940801592,0.005847999526,0.003868591791,0.9962111947,0.3169521821
1,1,1525,0,1001.94707,639.910284,226.1737054,507.9255779,643.8833874,-168.983734,812.8671214,706.3790645,0.003982674122,-0.002673640882,0.006656315005,0.004393761567,973.8781963,-66.02260723,1039.900804,929.6992682,0.005659782671,-0.002720264058,0.008380046729,0.005694102961,363.5799357,-336.0013041,699.5812398,606.4733324,0.002838349035,-0.002883740873,0.005722089908,0.003784906374,0.9812534815,0.3089375434
1,1,1526,0,1012.768186,668.7999664,229.43771,499.9440908,698.1072048,-130.6503812,828.757586,720.241936,0.004145744267,-0.002621954018,0.006767698285,0.004466554859,1008.052617,-42.8433341,1050.895951,943.4046744,0.005789910905,-0.002658408452,0.008448319357,0.00576515424,401.1335186,-326.5933766,727.7268952,631.2210209,0.002982797308,-0.002952825276,0.005935622585,0.003929862874,0.9926267507,0.303345107
1,1,1527,0,1007.854951,649.482887,237.2292092,489.3625072,686.0147488,-100.5378508,786.5525996,684.6002655,0.003995155945,-0.002402036456,0.006397192401,0.004228721309,988.6472556,-27.27633659,1015.923592,914.8040029,0.005635937512,-0.002510699365,0.008146636878,0.00557710184,400.9292814,-303.4921399,704.4214213,610.5896418,0.002921284509,-0.002801593442,0.005722877952,0.003788184413,0.9758746208,0.2952597437
1,1,1528,0,1018.676005,678.0287593,226.8681155,505.087216,708.6796439,-140.5751929,849.2548368,737.8064255,0.004234867544,-0.00271395461,0.006948822154,0.004584277194,1022.760287,-47.27511918,1070.035406,959.628619,0.005888311448,-0.002726948222,0.00861525967,0.00587263235,405.0683979,-336.2854056,741.3538035,643.1815905,0.003031552136,-0.003026983175,0.006058535312,0.004011325218,1.003270908,0.3093595031
1,1,1529,0,998.9252262,660.8030398,226.5096197,502.6033025,669.8683337,-153.3027379,823.1710716,714.9403127,0.004056820926,-0.002671350949,0.006728171876,0.004438422797,982.5115167,-56.84894121,1039.360458,930.6453239,0.005679420282,-0.00268186995,0.008361290231,0.005690746204,380.3031703,-333.0572669,713.3604373,618.8992137,0.002892514711,-0.002931220986,0.005823735697,0.003855859298,0.9837817994,0.3007152184
1,1,1530,0,1048.820642,655.9871184,230.6700345,517.4365682,708.5795385,-145.9652924,854.544831,744.0364601,0.00430452433,-0.002719580717,0.007024105047,0.004643222201,1050.199998,-51.16320555,1101.363203,987.3294215,0.00607612913,-0.00282951924,0.00890564837,0.006066514227,404.9364133,-342.3823056,747.3187189,647.4732786,0.003101388027,-0.003034134036,0.006135522063,0.004055694925,1.02350814,0.3384414458
1,1,1531,0,1036.343097,667.5184946,220.7771675,493.1812598,731.9069604,-101.0741325,832.9810929,725.0599143,0.004249601463,-0.002534635046,0.006784236508,0.004484358085,1047.964107,-21.97355283,1069.93766,964.4394471,0.005958248928,-0.002622282623,0.008580531551,0.0058802557,427.4078051,-318.2142081,745.6220133,646.3387138,0.003101244433,-0.002964216623,0.006065461056,0.004014759246,0.9870447248,0.2938309141
1,1,1532,0,1040.963975,662.1415944,231.4572337,511.0796694,712.7249544,-134.1471976,846.872152,737.0593633,0.004274608978,-0.002670035366,0.006944644344,0.004589031556,1042.867517,-44.30699549,1087.174512,975.6424085,0.006008262617,-0.002764768718,0.008773031335,0.005983299418,409.7315129,-335.0801926,744.8117055,645.4538652,0.003088592159,-0.003011929295,0.006100521454,0.004034347522,1.016209339,0.3282074455
1,1,1533,0,1019.452312,657.1083043,229.5714092,500.7097002,693.0699961,-128.0499719,821.119968,714.2085092,0.004124950099,-0.002581766325,0.006706716424,0.004429995141,1008.938378,-42.17344257,1051.111821,943.8890682,0.005796134198,-0.002656107541,0.008452241739,0.005769518025,399.3676061,-324.2494101,723.6170162,627.2947311,0.002981874896,-0.002921603311,0.005903478207,0.003906410898,0.9909717338,0.3066890835
1,1,1534,0,1006.299468,654.703948,229.9225066,500.7180352,675.0086467,-139.3440326,814.3526792,707.8429603,0.00405232717,-0.002599018698,0.006651345868,0.004390894291,987.8200531,-49.48702896,1037.307082,930.1800521,0.005692759222,-0.00264868424,0.008341443462,0.005685811418,386.2977752,-325.8057733,712.1035485,617.4853516,0.002912090612,-0.00289739957,0.005809490181,0.00384499561,0.9846643558,0.30337999
